Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name

92.04 6.28 15 -0.53 -3.58 4.11 0.87 1.84 -4.47 24 X Y 021089C 6.28 291 71 -176 200 87 -19 6.250 24 021089C
94.68 7.75 33 0.36 -1.18 0.82 -0.06 0.45 0.55 24 X Y 021889B 7.75 62 66 16 326 76 156 1.260 24 021889B
94.47 7.65 15 0.04 -8.20 8.17 -5.62 -2.19 -0.36 23 X Y 021989A 7.65 138 58 -172 43 83 -32 9.970 23 021989A
95.13 6.90 33 -0.38 -4.19 4.56 -1.92 3.52 1.74 23 X Y 050389D 6.90 56 49 -2 148 89 -139 6.170 23 050389D
95.80 5.13 101 1.33 0.76 -2.09 1.52 -0.10 -1.74 24 X Y 072089A 5.13 169 54 28 62 68 141 2.950 24 072089A
96.22 4.99 31 -0.26 -7.93 8.19 2.08 3.89 -1.33 23 X Y 073089C 4.99 309 62 177 40 88 28 9.250 23 073089C
95.92 2.66 51 6.67 -1.72 -4.95 6.34 -4.35 6.95 23 X Y 080289B 2.66 345 28 126 125 67 72 11.670 23 080289B
95.93 3.55 50 1.84 -1.01 -0.83 1.08 -1.03 1.33 25 X Y 012290D 3.55 313 27 89 133 63 90 2.530 25 012290D
94.50 8.05 15 0.28 -2.20 1.92 0.77 0.16 1.30 24 X Y 043090C 8.05 332 73 -178 241 88 -17 2.550 24 043090C
95.40 3.32 39 3.58 -0.42 -3.16 -1.95 0.71 2.59 23 X Y 073190C 3.32 171 38 125 310 60 66 4.710 23 073190C
93.86 7.75 15 0.14 0.10 -0.24 -0.33 0.09 1.13 25 X Y 081890C 7.75 185 73 180 275 90 17 1.190 25 081890C
97.52 4.02 15 0.10 -1.03 0.94 -0.26 -0.38 -0.49 26 X Y 111590A 4.02 122 67 178 212 88 23 1.190 26 111590A
97.36 3.44 33 3.43 -3.93 0.50 0.39 2.37 2.85 23 X Y 111890A 3.44 85 51 41 326 59 132 5.260 23 111890A
97.49 3.64 35 1.19 -1.90 0.70 -1.12 0.45 0.68 24 X Y 111890B 3.64 87 29 66 294 64 103 2.040 24 111890B
93.93 8.14 21 -0.14 -0.58 0.72 0.10 0.06 1.35 25 X Y 122990A 8.14 347 86 179 77 89 4 1.500 25 122990A
93.48 7.41 33 -0.69 -5.16 5.85 3.34 -6.05 -2.58 23 X Y 030891A 7.41 219 43 0 309 90 -133 8.720 23 030891A
94.29 8.37 42 0.01 -1.18 1.17 0.01 0.12 1.68 24 X Y 071891D 8.37 73 87 1 342 89 177 2.060 24 071891D
95.83 3.90 42 -0.92 0.98 -0.06 3.03 0.66 -0.41 24 X Y 072391C 3.90 132 13 -38 260 82 -100 3.270 24 072391C
